 TimeStamp microcontroller.outputport_fsr.0 microcontroller.outputport_fsr.1 microcontroller.outputport_fsr.2 microcontroller.outputport_fsr.3 microcontroller.outputport_fsr.4 microcontroller.outputport_fsr.5 microcontroller.outputport_mems.0 microcontroller.outputport_mems.1 microcontroller.outputport_mems.2 microcontroller.outputport_mems.3 microcontroller.outputport_mems.4 microcontroller.outputport_mems.5 microcontroller.outputport_mems.6 microcontroller.outputport_mems.7 microcontroller.outputport_wrench.0 microcontroller.outputport_wrench.1 microcontroller.outputport_wrench.2 microcontroller.outputport_wrench.3 microcontroller.outputport_wrench.4 microcontroller.outputport_wrench.5
 2.11274  1967 1967 1967 1978 1973 1977  2.2 29.5117 -280 -1050 -70 -22.082 27.084 1010.28  -1.53093 0.53033 -3.18198 8.67362e-17 0.0918559 0.413351 
 2.21263  1967 1967 1967 1978 1973 1977  2.3 29.4961 -210 -1050 -70 -22.082 27.084 1010.28  -1.53093 0.53033 -3.18198 8.67362e-17 0.0918559 0.413351 
 2.31273  1967 1967 1967 1978 1973 1975  2.4 29.5352 -210 -1050 -70 -22.082 27.084 1010.28  -0.306186 -0.883883 -2.47487 -0.053033 2.77556e-17 0.321496 
 2.41284  1967 1966 1967 1978 1973 1975  2.5 29.4922 -210 -1050 -70 -22.082 27.084 1010.22  -1.22474 -1.06066 -2.12132 -0.0795495 0.0459279 0.275568 
 2.51276  1967 1966 1967 1977 1974 1975  2.6 29.4805 -210 -1050 -70 -22.082 27.084 1010.28  -1.53093 0.53033 -2.12132 4.51028e-17 0.0918559 0.275568 
 2.61278  1967 1966 1967 1976 1974 1974  2.7 29.5 -210 -1050 -70 -22.082 27.084 1010.22  -0.612372 0.707107 -1.41421 0.0265165 0.0459279 0.183712 
 2.71277  1967 1966 1968 1976 1974 1976  2.8 29.5195 -210 -1050 -70 -22.082 27.084 1010.22  -2.1433 1.23744 -2.47487 0.0265165 0.137784 0.321496 
 2.81287  1967 1966 1968 1976 1973 1977  2.9 29.5195 -210 -1050 -70 -22.082 27.084 1010.22  -2.1433 1.23744 -2.47487 0.0265165 0.137784 0.321496 
 2.81306  1967 1966 1968 1976 1973 1977  2.9 29.5195 -210 -1050 -70 -22.082 27.084 1010.22  -2.1433 1.23744 -2.47487 0.0265165 0.137784 0.321496 
 2.91281  1967 1966 1968 1975 1974 1975  3 29.5234 -210 -1050 -70 -22.082 27.084 1010.28  -1.22474 1.41421 -1.76777 0.053033 0.0918559 0.22964 
 3.01288  1966 1966 1968 1975 1974 1975  3.1 29.5312 -210 -1050 -70 -22.082 27.084 1010.28  -2.1433 1.23744 -1.41421 0.0265165 0.137784 0.183712 
 3.11285  1966 1966 1968 1975 1974 1975  3.2 29.5234 -210 -1050 -70 -22.082 27.084 1010.4  -2.1433 1.23744 -1.41421 0.0265165 0.137784 0.183712 
 3.21269  1966 1966 1968 1976 1974 1975  3.3 29.5586 -210 -1050 -70 -22.082 27.084 1010.47  -2.44949 0.353553 -1.76777 -0.0265165 0.137784 0.22964 
 3.31278  1966 1966 1968 1976 1974 1975  3.4 29.5664 -210 -1050 -70 -22.082 27.084 1010.53  -2.44949 0.353553 -1.76777 -0.0265165 0.137784 0.22964 
 3.41282  1965 1966 1968 1975 1975 1974  3.5 29.5312 -280 -1050 -70 -22.082 27.084 1010.65  -3.06186 1.06066 -1.06066 1.38778e-17 0.183712 0.137784 
 3.5129  1965 1966 1968 1975 1975 1974  3.6 29.5391 -210 -1050 -140 -22.082 27.084 1010.65  -3.06186 1.06066 -1.06066 1.38778e-17 0.183712 0.137784 
 3.61283  1966 1966 1968 1975 1975 1974  3.7 29.5977 -210 -1050 -70 -22.143 27.145 1010.77  -2.1433 1.23744 -1.41421 0.0265165 0.137784 0.183712 
 3.71281  1966 1965 1968 1974 1975 1973  3.8 29.5391 -210 -1050 -70 -22.143 27.145 1010.83  -2.1433 1.23744 -0.353553 0.0265165 0.137784 0.0459279 
 3.8129  1966 1965 1968 1973 1975 1971  3.9 29.5586 -210 -1050 -70 -22.082 27.145 1010.83  -0.612372 0.707107 0.707107 0.0265165 0.0459279 -0.0918559 
 3.91286  1966 1965 1968 1974 1975 1972  4 29.5547 -280 -1050 -70 -22.082 27.206 1010.89  -1.53093 0.53033 -1.11022e-16 -6.93889e-18 0.0918559 0 
 4.01279  1967 1965 1968 1974 1975 1973  4.1 29.5391 -280 -1050 -70 -22.082 27.206 1010.89  -1.22474 1.41421 -0.707107 0.053033 0.0918559 0.0918559 
 4.11281  1967 1966 1968 1973 1975 1972  4.2 29.6016 -280 -1050 -70 -22.082 27.145 1010.89  0.612372 1.76777 -0.353553 0.106066 -1.99282e-17 0.0459279 
 4.21286  1967 1965 1968 1971 1975 1971  4.3 29.5 -280 -1050 -70 -22.021 27.145 1010.89  0.612372 1.76777 -0.353553 0.106066 -1.99282e-17 0.0459279 
 4.21304  1967 1965 1968 1971 1975 1971  4.3 29.5 -280 -1050 -70 -22.021 27.145 1010.89  0.918559 2.65165 1.06066 0.159099 -3.46945e-17 -0.137784 
 4.21316  1967 1965 1968 1971 1975 1971  4.3 29.5 -280 -1050 -70 -22.021 27.145 1010.89  0.918559 2.65165 1.06066 0.159099 -3.46945e-17 -0.137784 
 4.31282  1967 1965 1968 1971 1976 1971  4.4 29.5312 -210 -1050 -70 -22.021 27.145 1010.89  0.306186 3.35876 0.707107 0.185616 0.0459279 -0.0918559 
 4.41275  1967 1965 1968 1971 1975 1971  4.5 29.5312 -280 -1050 -70 -22.021 27.145 1010.83  0.918559 2.65165 1.06066 0.159099 -3.46945e-17 -0.137784 
 4.5129  1967 1966 1968 1971 1976 1971  4.6 29.5 -210 -1050 -70 -22.021 27.145 1010.83  1.22474 3.53553 0.353553 0.212132 -2.77556e-17 -0.0459279 
 4.61291  1967 1966 1968 1972 1975 1972  4.7 29.5469 -280 -1050 -70 -22.021 27.145 1010.83  0.918559 2.65165 -2.22045e-16 0.159099 -2.64229e-17 -2.77556e-17 
 4.71277  1967 1966 1968 1973 1975 1971  4.8 29.5781 -210 -1050 -70 -22.082 27.145 1010.83  1.22474 1.06066 -2.22045e-16 0.0795495 -0.0459279 -2.77556e-17 
 4.81273  1968 1966 1968 1973 1975 1971  4.9 29.5312 -210 -1050 -70 -22.082 27.145 1010.83  2.1433 1.23744 -0.353553 0.106066 -0.0918559 0.0459279 
 4.91277  1968 1966 1968 1972 1976 1971  5 29.5586 -210 -1050 -70 -22.082 27.145 1010.83  1.83712 2.82843 -0.353553 0.185616 -0.0459279 0.0459279 
 4.91281  1968 1966 1968 1972 1976 1971  5 29.5586 -210 -1050 -70 -22.082 27.145 1010.83  1.83712 2.82843 -0.353553 0.185616 -0.0459279 0.0459279 
 5.01287  1968 1966 1968 1972 1976 1970  5.1 29.5352 -210 -1050 -70 -22.082 27.145 1010.83  2.44949 2.12132 0 0.159099 -0.0918559 -5.55112e-17 
 5.11286  1968 1966 1968 1972 1976 1970  5.2 29.4883 -280 -1050 -70 -22.082 27.145 1010.83  2.44949 2.12132 0 0.159099 -0.0918559 -5.55112e-17 
 5.21284  1968 1966 1968 1974 1976 1970  5.3 29.5312 -280 -1050 -70 -22.082 27.084 1010.89  1.83712 0.353553 -0.707107 0.053033 -0.0918559 0.0918559 
 5.21303  1968 1966 1968 1974 1976 1970  5.3 29.5312 -280 -1050 -70 -22.082 27.084 1010.89  1.83712 0.353553 -0.707107 0.053033 -0.0918559 0.0918559 
 5.31288  1967 1966 1968 1974 1976 1972  5.4 29.5352 -280 -1050 -70 -22.021 27.145 1010.89  -0.306186 1.59099 -1.06066 0.0795495 0.0459279 0.137784 
 5.31306  1967 1966 1968 1974 1976 1972  5.4 29.5352 -280 -1050 -70 -22.021 27.145 1010.89  -0.306186 1.59099 -1.06066 0.0795495 0.0459279 0.137784 
 5.41288  1967 1966 1968 1975 1976 1972  5.5 29.5391 -280 -1050 -70 -22.021 27.084 1010.95  -0.612372 0.707107 -1.41421 0.0265165 0.0459279 0.183712 
 5.41306  1967 1966 1968 1975 1976 1972  5.5 29.5391 -280 -1050 -70 -22.021 27.084 1010.95  -0.612372 0.707107 -1.41421 0.0265165 0.0459279 0.183712 
 5.51279  1967 1966 1968 1974 1976 1972  5.6 29.5469 -280 -1050 -70 -22.021 27.084 1010.95  -0.306186 1.59099 -1.06066 0.0795495 0.0459279 0.137784 
 5.61285  1967 1966 1968 1974 1976 1971  5.7 29.5938 -210 -1050 -70 -22.021 27.145 1010.89  0.306186 0.883883 -0.707107 0.053033 -6.93889e-18 0.0918559 
 5.71275  1968 1966 1968 1973 1976 1971  5.8 29.5547 -210 -1050 -70 -22.021 27.145 1010.89  1.53093 1.94454 -0.707107 0.132583 -0.0459279 0.0918559 
 5.81294  1967 1966 1968 1974 1975 1971  5.9 29.543 -210 -1050 -70 -22.082 27.145 1010.89  0.918559 0.176777 -0.353553 0.0265165 -0.0459279 0.0459279 
 5.91296  1967 1966 1968 1975 1975 1973  6 29.5391 -280 -1050 -70 -22.082 27.145 1010.89  -0.612372 0.707107 -1.41421 0.0265165 0.0459279 0.183712 
 5.91319  1967 1966 1968 1975 1975 1973  6 29.5391 -280 -1050 -70 -22.082 27.145 1010.89  -0.612372 0.707107 -1.41421 0.0265165 0.0459279 0.183712 
 6.01289  1967 1966 1968 1974 1975 1974  6.1 29.5391 -280 -1050 -70 -22.082 27.145 1010.83  -0.918559 2.2981 -1.41421 0.106066 0.0918559 0.183712 
 6.01307  1967 1966 1968 1974 1975 1974  6.1 29.5391 -280 -1050 -70 -22.082 27.145 1010.83  -0.918559 2.2981 -1.41421 0.106066 0.0918559 0.183712 
 6.11291  1967 1966 1967 1975 1974 1975  6.2 29.5156 -280 -1050 -70 -22.082 27.145 1010.83  -0.918559 2.2981 -1.41421 0.106066 0.0918559 0.183712 
 6.21288  1967 1966 1968 1974 1974 1974  6.3 29.5391 -210 -1050 -70 -22.082 27.084 1010.83  -0.306186 1.59099 -1.06066 0.0795495 0.0459279 0.137784 
 6.31301  1967 1966 1968 1974 1974 1974  6.4 29.5508 -210 -1050 -70 -22.082 27.145 1010.83  -0.306186 1.59099 -1.06066 0.0795495 0.0459279 0.137784 
 6.31321  1967 1966 1968 1974 1974 1974  6.4 29.5508 -210 -1050 -70 -22.082 27.145 1010.83  -0.306186 1.59099 -1.06066 0.0795495 0.0459279 0.137784 
 6.41307  1967 1966 1968 1973 1974 1974  6.5 29.5273 -210 -1050 -70 -22.082 27.145 1010.83  5.55112e-16 2.47487 -0.707107 0.132583 0.0459279 0.0918559 
 6.41325  1967 1966 1968 1973 1974 1974  6.5 29.5273 -210 -1050 -70 -22.082 27.145 1010.83  5.55112e-16 2.47487 -0.707107 0.132583 0.0459279 0.0918559 
 6.51287  1967 1966 1968 1973 1975 1974  6.6 29.5391 -280 -1050 -70 -22.143 27.145 1010.89  -0.612372 3.18198 -1.06066 0.159099 0.0918559 0.137784 
 6.61292  1967 1966 1968 1973 1975 1974  6.7 29.543 -210 -1050 -70 -22.143 27.084 1010.89  -0.612372 3.18198 -1.06066 0.159099 0.0918559 0.137784 
 6.71277  1967 1966 1967 1974 1974 1974  6.8 29.5352 -280 -1050 -70 -22.143 27.145 1010.83  3.33067e-16 2.47487 -0.707107 0.132583 0.0459279 0.0918559 
 6.81288  1967 1966 1967 1974 1974 1974  6.9 29.5469 -210 -1050 -70 -22.143 27.145 1010.83  3.33067e-16 2.47487 -0.707107 0.132583 0.0459279 0.0918559 
 6.91277  1967 1966 1967 1974 1975 1973  7 29.5195 -210 -1050 -70 -22.143 27.145 1010.83  3.88578e-16 2.47487 -0.707107 0.132583 0.0459279 0.0918559 
 6.91282  1967 1966 1967 1974 1975 1973  7 29.5195 -210 -1050 -70 -22.143 27.145 1010.83  3.88578e-16 2.47487 -0.707107 0.132583 0.0459279 0.0918559 
 7.0129  1967 1966 1967 1974 1975 1972  7.1 29.5195 -210 -1050 -70 -22.143 27.084 1010.77  0.612372 1.76777 -0.353553 0.106066 -6.49467e-18 0.0459279 
 7.01295  1967 1966 1967 1974 1975 1972  7.1 29.5195 -210 -1050 -70 -22.143 27.084 1010.77  0.612372 1.76777 -0.353553 0.106066 -6.49467e-18 0.0459279 
 7.11296  1967 1966 1968 1974 1975 1971  7.2 29.5234 -210 -1050 -70 -22.143 27.084 1010.71  0.918559 0.176777 -0.353553 0.0265165 -0.0459279 0.0459279 
 7.21286  1967 1966 1967 1974 1975 1971  7.3 29.4961 -210 -1050 -70 -22.082 27.084 1010.71  1.22474 1.06066 -1.11022e-16 0.0795495 -0.0459279 -1.38778e-17 
 7.31289  1967 1966 1967 1975 1975 1970  7.4 29.5234 -210 -1050 -70 -22.082 27.084 1010.65  1.53093 -0.53033 0 0 -0.0918559 -1.38778e-17 
 7.41284  1967 1966 1967 1976 1974 1971  7.5 29.4961 -210 -1050 -70 -22.082 27.084 1010.59  1.22474 -1.41421 -0.353553 -0.053033 -0.0918559 0.0459279 
 7.51279  1967 1966 1967 1977 1974 1972  7.6 29.4883 -210 -1050 -70 -22.082 27.084 1010.53  0.306186 -1.59099 -1.06066 -0.0795495 -0.0459279 0.137784 
 7.61287  1967 1966 1967 1976 1974 1972  7.7 29.5156 -210 -1050 -70 -22.082 27.084 1010.53  0.612372 -0.707107 -0.707107 -0.0265165 -0.0459279 0.0918559 
 7.7129  1967 1965 1968 1975 1974 1972  7.8 29.4883 -210 -1050 -70 -22.021 27.023 1010.47  -0.306186 -0.883883 -0.353553 -0.053033 -6.93889e-18 0.0459279 
 7.8129  1967 1965 1968 1974 1974 1973  7.9 29.5195 -210 -1050 -70 -22.021 27.023 1010.4  -0.612372 0.707107 -0.353553 0.0265165 0.0459279 0.0459279 
 7.81315  1967 1965 1968 1974 1974 1973  7.9 29.5195 -210 -1050 -70 -22.021 27.023 1010.4  -0.612372 0.707107 -0.353553 0.0265165 0.0459279 0.0459279 
 7.91296  1967 1966 1968 1975 1974 1974  8 29.5547 -210 -1050 -70 -22.021 27.023 1010.4  -0.612372 0.707107 -1.41421 0.0265165 0.0459279 0.183712 
 7.91313  1967 1966 1968 1975 1974 1974  8 29.5547 -210 -1050 -70 -22.021 27.023 1010.4  -0.612372 0.707107 -1.41421 0.0265165 0.0459279 0.183712 
 8.0131  1967 1966 1968 1974 1975 1974  8.1 29.4688 -280 -1050 -70 -22.021 27.023 1010.34  -0.918559 2.2981 -1.41421 0.106066 0.0918559 0.183712 
 8.01328  1967 1966 1968 1974 1975 1974  8.1 29.4688 -280 -1050 -70 -22.021 27.023 1010.34  -0.918559 2.2981 -1.41421 0.106066 0.0918559 0.183712 
 8.11282  1967 1966 1968 1975 1974 1975  8.2 29.4922 -210 -1050 -70 -22.021 27.023 1010.28  -1.22474 1.41421 -1.76777 0.053033 0.0918559 0.22964 
 8.21307  1967 1966 1968 1976 1974 1976  8.3 29.5078 -210 -1050 -70 -22.021 27.023 1010.28  -2.1433 1.23744 -2.47487 0.0265165 0.137784 0.321496 
 8.31283  1967 1966 1968 1976 1974 1978  8.4 29.5117 -210 -1050 -70 -22.082 27.023 1010.22  -3.36805 2.65165 -3.18198 0.0795495 0.22964 0.413351 
 8.41289  1967 1966 1968 1975 1974 1978  8.5 29.5078 -140 -1120 -70 -22.021 27.023 1010.22  -3.06186 3.53553 -2.82843 0.132583 0.22964 0.367423 
 8.51293  1967 1966 1968 1975 1974 1978  8.6 29.5039 -140 -1120 -70 -21.96 27.023 1010.16  -3.06186 3.53553 -2.82843 0.132583 0.22964 0.367423 
 8.61296  1966 1966 1968 1976 1974 1979  8.7 29.4922 -280 -1050 -70 -22.021 27.084 1010.1  -4.89898 3.18198 -3.18198 0.0795495 0.321496 0.413351 
 8.71312  1966 1966 1968 1976 1974 1979  8.8 29.4961 -210 -1050 -70 -21.96 27.145 1010.1  -4.89898 3.18198 -3.18198 0.0795495 0.321496 0.413351 
 8.81303  1966 1966 1968 1976 1974 1978  8.9 29.5391 -280 -980 -70 -21.838 27.084 1010.1  -4.28661 2.47487 -2.82843 0.053033 0.275568 0.367423 
 8.91299  1966 1966 1968 1976 1975 1977  9 29.5039 -280 -980 -70 -21.899 27.084 1010.16  -4.28661 2.47487 -2.82843 0.053033 0.275568 0.367423 
 9.01288  1966 1966 1968 1976 1975 1978  9.1 29.4883 -210 -1050 -70 -22.021 27.145 1010.16  -4.89898 3.18198 -3.18198 0.0795495 0.321496 0.413351 
 9.11282  1966 1966 1968 1976 1975 1978  9.2 29.5312 -280 -1050 -70 -22.021 27.145 1010.16  -4.89898 3.18198 -3.18198 0.0795495 0.321496 0.413351 
 9.21296  1966 1966 1968 1976 1975 1978  9.3 29.4961 -210 -1050 -70 -22.021 27.084 1010.28  -4.89898 3.18198 -3.18198 0.0795495 0.321496 0.413351 
 9.21312  1966 1966 1968 1976 1975 1978  9.3 29.4961 -210 -1050 -70 -22.021 27.084 1010.28  -4.89898 3.18198 -3.18198 0.0795495 0.321496 0.413351 
 9.31291  1966 1965 1968 1975 1975 1978  9.4 29.5078 -280 -1050 -70 -22.021 27.084 1010.28  -5.51135 3.88909 -2.47487 0.106066 0.367423 0.321496 
 9.4129  1966 1965 1968 1975 1975 1978  9.5 29.5352 -210 -1050 -70 -22.021 27.084 1010.34  -5.51135 3.88909 -2.47487 0.106066 0.367423 0.321496 
 9.51296  1966 1965 1968 1975 1975 1978  9.6 29.5859 -210 -1050 -70 -22.082 27.084 1010.4  -5.51135 3.88909 -2.47487 0.106066 0.367423 0.321496 
 9.61305  1966 1965 1968 1974 1975 1978  9.7 29.5234 -140 -1120 -70 -22.082 27.084 1010.4  -5.20517 4.77297 -2.12132 0.159099 0.367423 0.275568 
 9.61322  1966 1965 1968 1974 1975 1978  9.7 29.5234 -140 -1120 -70 -22.082 27.084 1010.4  -5.20517 4.77297 -2.12132 0.159099 0.367423 0.275568 
 9.71284  1966 1965 1968 1974 1975 1979  9.8 29.5234 -210 -1120 -70 -22.082 27.084 1010.4  -5.81754 5.48008 -2.47487 0.185616 0.413351 0.321496 
 9.81288  1966 1965 1968 1975 1974 1981  9.9 29.5508 -280 -1050 -70 -21.96 27.084 1010.47  -6.7361 5.3033 -3.18198 0.159099 0.459279 0.413351 
 9.91288  1967 1964 1968 1974 1974 1980  10 29.5273 -280 -1050 -70 -21.96 27.084 1010.47  -5.81754 5.48008 -2.47487 0.185616 0.413351 0.321496 
 10.013  1967 1964 1968 1973 1975 1979  10.1 29.5039 -210 -1050 -70 -22.021 27.145 1010.4  -5.51135 6.36396 -2.12132 0.238649 0.413351 0.275568 
 10.1129  1967 1964 1968 1973 1975 1979  10.2 29.5039 -210 -1050 -70 -22.021 27.145 1010.4  -5.51135 6.36396 -2.12132 0.238649 0.413351 0.275568 
 10.2129  1967 1964 1968 1973 1975 1978  10.3 29.5195 -210 -1050 -70 -21.96 27.145 1010.34  -4.89898 5.65685 -1.76777 0.212132 0.367423 0.22964 
 10.313  1968 1965 1968 1973 1974 1978  10.4 29.4727 -210 -1050 -70 -21.899 27.145 1010.34  -2.44949 5.3033 -2.12132 0.238649 0.22964 0.275568 
 10.413  1967 1965 1968 1974 1974 1977  10.5 29.5156 -210 -1050 -70 -21.899 27.145 1010.34  -3.06186 3.53553 -1.76777 0.132583 0.22964 0.22964 
 10.513  1967 1965 1969 1973 1975 1975  10.6 29.5039 -210 -1050 -70 -21.899 27.206 1010.34  -2.44949 2.82843 -1.41421 0.106066 0.183712 0.183712 
 10.5131  1967 1965 1969 1973 1975 1975  10.6 29.5039 -210 -1050 -70 -21.899 27.206 1010.34  -2.44949 2.82843 -1.41421 0.106066 0.183712 0.183712 
